Country,City_Tier,Age,Gender,Education_Level,HH_Size,Annual_HH_Income_USD,Monthly_kWh,High_Energy_Appliances,EE_Appliance_Share,Env_Concern,EE_Knowledge,Govt_Incentive_Aware,Will_Adopt,Premium_WTP_pct,Budget_USD,Financing_Pref,Acceptable_Payback_yrs,Primary_Decision_Factor,Main_Barrier,Wanted_Features,Interested_Categories,Info_Sources
Singapore,Metro,25,Female,Secondary,3,74868.17,218.7,10,62,3,4,1,1,4.2,4337.84,Upfront,3,Energy saving,High cost,5‑Star rating;Wi‑Fi control,Air‑purifier,Social media;Friends/Family
India,Metro,20,Female,Graduate,4,31939.28,200.9,3,13,4,5,0,1,8.9,2114.83,Upfront,4,Energy saving,Uncertain savings,Quiet motor;Wi‑Fi control,Water‑heater;Dishwasher,Friends/Family
UAE,Metro,58,Female,Secondary,1,49676.04,511.0,2,59,1,1,1,0,1.7,3039.6,0‑interest EMI,2,Govt incentive,Uncertain savings,5‑Star rating;Solar compatibility,Refrigerator;Water‑heater,Social media;Friends/Family;Online reviews
UAE,Metro,39,Female,Primary,3,48785.52,1103.5,7,14,3,4,0,0,2.4,2224.84,BNPL,4,Govt incentive,Uncertain savings,Wi‑Fi control;Compact design;5‑Star rating,AC,Online reviews;Social media;In‑store demos
India,Metro,21,Male,Secondary,4,18622.78,225.5,1,65,4,5,0,1,9.6,929.38,Upfront,2,Peer reviews,Limited models,Compact design;Quiet motor,Water‑heater;Air‑purifier,In‑store demos;Online reviews
India,Metro,36,Male,Graduate,3,11587.7,172.5,4,73,5,4,0,0,10.2,661.3,Rental,3,Brand,High cost,Quiet motor;Solar compatibility,Washer;Air‑purifier,Friends/Family;Govt portals;Social media
India,Metro,41,Female,Graduate,2,17645.73,308.3,3,47,2,2,0,1,7.1,928.75,Upfront,3,Energy saving,High cost,Compact design;Wi‑Fi control;Solar compatibility,Water‑heater,Online reviews;Social media
Singapore,Metro,44,Female,Graduate,4,62251.14,275.9,4,22,2,2,0,1,9.2,3164.08,0‑interest EMI,3,Up‑front price,Limited models,Compact design,Refrigerator;Air‑purifier;Washer,In‑store demos
India,Tier‑2 city,38,Female,Secondary,3,16902.61,1095.6,1,25,5,4,1,1,20.3,381.33,Rental,2,Peer reviews,Other,Compact design,Washer;AC;Water‑heater,Friends/Family;Govt portals
UAE,Metro,34,Male,Secondary,1,106460.8,268.2,7,48,1,1,1,0,5.4,5617.9,Upfront,1,Govt incentive,Other,Compact design,Refrigerator;Dishwasher;Water‑heater,Friends/Family;Govt portals
UAE,Metro,40,Female,Post‑grad,3,98016.72,384.2,6,88,1,2,1,1,10.8,4688.44,Upfront,4,Up‑front price,Other,Compact design,Water‑heater,Online reviews;Govt portals;In‑store demos
India,Metro,46,Female,Secondary,2,29675.92,295.2,6,65,4,5,0,1,4.2,1265.66,0‑interest EMI,4,Energy saving,High cost,Quiet motor,AC;Air‑purifier;Dishwasher,Online reviews;Social media
India,Metro,46,Male,Primary,4,17835.29,669.7,2,33,4,3,0,1,8.1,473.57,0‑interest EMI,0,Peer reviews,Limited models,Wi‑Fi control,Water‑heater,Friends/Family;Govt portals;Online reviews
UAE,Metro,52,Female,Secondary,3,62508.64,571.4,6,52,4,4,1,1,6.8,2952.21,0‑interest EMI,4,Govt incentive,High cost,5‑Star rating,Air‑purifier;Dishwasher;Refrigerator,Online reviews
Singapore,Metro,31,Female,Graduate,3,117970.79,263.1,10,63,4,3,1,1,6.7,6006.71,0‑interest EMI,4,Govt incentive,Low awareness,Compact design;Wi‑Fi control;5‑Star rating,Air‑purifier,Friends/Family;Social media
UAE,Metro,41,Male,Graduate,2,50105.38,336.3,2,29,1,1,0,0,1.6,2651.68,0‑interest EMI,0,Energy saving,Other,Solar compatibility;5‑Star rating;Wi‑Fi control,Air‑purifier;Water‑heater,Online reviews
UAE,Metro,43,Male,Secondary,3,100436.46,355.5,3,53,2,1,1,1,3.6,4878.51,Upfront,5,Brand,Other,Compact design;Quiet motor;Wi‑Fi control,Dishwasher;Washer,Online reviews;Govt portals;Friends/Family
UAE,Metro,22,Male,Post‑grad,6,60508.22,843.0,2,30,5,5,0,1,6.0,3093.26,BNPL,1,Brand,Limited models,Compact design;Solar compatibility,Air‑purifier;Dishwasher;Washer,Friends/Family;Social media
India,Metro,29,Male,Graduate,3,13565.63,275.1,2,42,1,1,0,0,1.7,1175.68,0‑interest EMI,3,Up‑front price,Other,Solar compatibility;5‑Star rating;Wi‑Fi control,Refrigerator;Washer;AC,In‑store demos;Online reviews;Social media
India,Metro,41,Female,Secondary,1,35237.02,202.5,4,47,5,5,0,1,21.0,2882.3,0‑interest EMI,0,Brand,Other,Wi‑Fi control,Water‑heater;Refrigerator;Washer,Online reviews
UAE,Tier‑2 city,35,Male,Post‑grad,4,78485.34,167.9,7,62,3,2,1,1,13.2,3541.22,Upfront,3,Peer reviews,Limited models,Quiet motor;Wi‑Fi control,Water‑heater;Air‑purifier,Friends/Family
India,Metro,38,Male,Graduate,2,13383.16,263.0,1,28,5,5,1,0,7.1,247.94,0‑interest EMI,3,Up‑front price,High cost,Solar compatibility;Quiet motor,Dishwasher,Govt portals;Social media;Friends/Family
Singapore,Metro,40,Male,Graduate,2,96226.58,619.8,6,60,4,5,1,1,12.0,4926.11,0‑interest EMI,5,Brand,Uncertain savings,Compact design;Quiet motor;5‑Star rating,Refrigerator,Social media;Friends/Family
UAE,Metro,30,Male,Secondary,4,54918.1,371.3,1,53,5,5,0,1,8.7,2188.52,0‑interest EMI,4,Energy saving,Limited models,Solar compatibility,Water‑heater;AC,Online reviews;Social media
Singapore,Metro,37,Female,Graduate,3,75463.59,245.5,6,56,1,1,1,0,0.7,3369.79,Upfront,2,Brand,High cost,Solar compatibility;Compact design,Water‑heater;Washer;Air‑purifier,Friends/Family;Social media;In‑store demos
India,Metro,28,Male,Graduate,2,10904.76,186.0,1,28,4,5,1,0,8.7,312.28,BNPL,0,Govt incentive,Other,Wi‑Fi control,Refrigerator,Social media;Friends/Family;Online reviews
India,Rural,28,Female,Graduate,1,10278.44,330.4,1,27,2,2,0,0,10.4,541.25,BNPL,1,Govt incentive,Uncertain savings,Solar compatibility;5‑Star rating;Quiet motor,Dishwasher,Social media;Friends/Family;Online reviews
UAE,Metro,18,Female,Graduate,4,107057.09,329.5,8,63,1,2,1,0,3.9,5832.05,Upfront,5,Up‑front price,Other,Solar compatibility;Quiet motor;Compact design,Dishwasher,In‑store demos;Govt portals;Social media
Singapore,Metro,52,Male,Primary,4,94506.81,251.9,8,58,1,1,0,0,1.2,4747.63,0‑interest EMI,4,Brand,Uncertain savings,Solar compatibility;Compact design,Water‑heater,Social media;Online reviews
UAE,Metro,31,Male,Post‑grad,3,84104.02,633.8,5,61,5,4,0,1,9.7,4290.48,0‑interest EMI,2,Brand,Limited models,Quiet motor;5‑Star rating;Wi‑Fi control,Dishwasher;Water‑heater,Social media
India,Metro,48,Male,Graduate,3,18552.37,274.8,0,37,5,4,0,0,3.6,50.0,Upfront,0,Peer reviews,Limited models,Compact design;5‑Star rating,Water‑heater,Govt portals
UAE,Metro,45,Male,Post‑grad,1,38026.34,1007.7,3,39,2,3,1,0,3.3,1683.75,Upfront,1,Up‑front price,Other,Wi‑Fi control,Refrigerator,In‑store demos;Friends/Family
Singapore,Metro,28,Female,Secondary,7,80095.6,153.5,1,66,2,3,1,1,12.6,4058.03,Upfront,3,Up‑front price,Limited models,5‑Star rating,AC;Refrigerator;Water‑heater,Friends/Family;Govt portals;Social media
Singapore,Metro,18,Female,Post‑grad,1,83077.07,341.4,6,68,4,3,0,1,16.1,4091.12,Rental,0,Brand,Limited models,5‑Star rating;Quiet motor,Washer;Refrigerator,Friends/Family
India,Metro,30,Male,Graduate,3,17001.27,182.7,2,64,2,2,0,0,3.8,1263.92,0‑interest EMI,2,Energy saving,Limited models,5‑Star rating,Dishwasher;Refrigerator;Air‑purifier,Online reviews;Friends/Family;Social media
India,Metro,36,Male,Graduate,2,17076.68,282.9,3,51,1,2,0,0,0.9,1341.43,0‑interest EMI,3,Govt incentive,Low awareness,5‑Star rating,Washer,Friends/Family;Govt portals
India,Metro,18,Male,Primary,3,19918.25,181.8,3,62,4,3,0,1,13.0,1174.88,Upfront,2,Up‑front price,Uncertain savings,Solar compatibility,Refrigerator;Air‑purifier,Online reviews
India,Metro,30,Male,Graduate,2,14291.02,213.1,0,27,2,1,0,0,5.7,482.32,Upfront,4,Peer reviews,Low awareness,Solar compatibility;Quiet motor;Wi‑Fi control,Washer;Dishwasher,In‑store demos;Govt portals;Social media
India,Metro,40,Male,Primary,5,305826.76,305.9,9,100,4,5,0,1,19.8,15355.95,BNPL,2,Energy saving,High cost,Solar compatibility;5‑Star rating;Quiet motor,Refrigerator,Govt portals;Online reviews;Social media
Singapore,Metro,41,Male,Graduate,3,128887.25,222.1,10,71,1,1,1,1,5.2,7065.78,0‑interest EMI,4,Brand,Low awareness,Wi‑Fi control,Water‑heater;Refrigerator,Friends/Family
UAE,Metro,55,Other,Primary,2,100289.11,538.0,5,78,3,2,1,1,4.0,4822.39,0‑interest EMI,1,Brand,Limited models,Solar compatibility,Air‑purifier;Dishwasher,Social media
India,Metro,46,Female,Secondary,8,32762.96,184.9,3,43,4,4,0,0,2.0,1906.44,Upfront,4,Up‑front price,High cost,Wi‑Fi control;Compact design;Solar compatibility,Water‑heater;Air‑purifier,Online reviews
India,Metro,33,Male,Primary,3,20509.04,525.2,0,47,2,2,1,1,10.8,2094.26,0‑interest EMI,4,Peer reviews,Low awareness,Wi‑Fi control,Water‑heater;Dishwasher;Washer,Govt portals;Online reviews;Friends/Family
Singapore,Metro,38,Female,Graduate,6,114680.68,295.4,10,35,1,1,1,0,3.7,4685.63,Upfront,2,Energy saving,High cost,Solar compatibility;Quiet motor,Air‑purifier;Washer;Refrigerator,Online reviews;Social media;In‑store demos
Singapore,Metro,33,Other,Graduate,5,84250.43,505.6,5,57,2,3,1,1,8.1,4406.73,Upfront,3,Brand,Uncertain savings,Wi‑Fi control;5‑Star rating,Refrigerator;Washer;AC,Friends/Family
India,Rural,49,Male,Secondary,3,25049.86,235.6,3,49,2,3,1,1,14.6,1055.42,Upfront,0,Peer reviews,Limited models,Wi‑Fi control,Refrigerator;AC;Dishwasher,In‑store demos;Friends/Family
Singapore,Metro,33,Male,Secondary,3,100034.52,498.5,4,41,3,2,1,1,9.3,5308.67,Upfront,2,Up‑front price,Uncertain savings,Solar compatibility,Air‑purifier;Washer;Water‑heater,In‑store demos;Govt portals;Friends/Family
Singapore,Metro,49,Male,Post‑grad,4,80699.57,327.7,2,59,1,1,0,1,8.2,3883.93,Upfront,1,Energy saving,Other,5‑Star rating;Quiet motor;Wi‑Fi control,Air‑purifier;Dishwasher;Water‑heater,Online reviews;In‑store demos;Govt portals
India,Rural,32,Other,Primary,1,23066.56,197.4,1,55,5,5,0,1,18.4,2548.23,0‑interest EMI,2,Govt incentive,Low awareness,Wi‑Fi control;Quiet motor,Water‑heater;AC;Air‑purifier,Govt portals
India,Tier‑2 city,34,Female,Primary,2,18639.42,135.3,1,20,1,2,1,0,1.5,620.17,BNPL,2,Energy saving,Uncertain savings,Solar compatibility;Quiet motor,Refrigerator;Water‑heater;Dishwasher,Online reviews;In‑store demos
UAE,Metro,37,Male,Graduate,2,111449.69,541.9,9,41,3,3,1,0,4.8,4958.57,Upfront,3,Govt incentive,High cost,Compact design;Wi‑Fi control,Air‑purifier;AC;Refrigerator,Friends/Family;Online reviews;In‑store demos
India,Rural,34,Male,Graduate,2,32080.25,262.9,4,30,5,5,0,1,19.0,2089.26,0‑interest EMI,1,Up‑front price,Uncertain savings,Solar compatibility,Water‑heater;Air‑purifier,Govt portals
UAE,Metro,40,Male,Graduate,3,62291.76,274.2,1,44,1,2,0,0,1.7,2691.57,Rental,3,Brand,Limited models,Wi‑Fi control;Compact design;Solar compatibility,Dishwasher;Water‑heater,Govt portals;In‑store demos;Social media
UAE,Metro,36,Male,Secondary,4,99918.51,565.7,9,97,5,5,1,1,10.8,4746.18,Upfront,2,Up‑front price,High cost,Quiet motor,Washer;Air‑purifier,Friends/Family
India,Metro,37,Male,Primary,2,30970.41,251.0,4,51,4,4,0,0,4.2,1395.77,Upfront,2,Up‑front price,Low awareness,Compact design;Quiet motor;Solar compatibility,Water‑heater,Online reviews;Friends/Family
India,Tier‑2 city,36,Male,Post‑grad,2,15747.12,211.9,1,43,3,3,0,1,6.9,50.0,0‑interest EMI,1,Peer reviews,Limited models,Solar compatibility;5‑Star rating,Dishwasher,In‑store demos
UAE,Metro,32,Male,Secondary,8,597255.25,384.3,10,100,4,3,1,1,13.6,30109.86,0‑interest EMI,4,Peer reviews,Limited models,Solar compatibility,Refrigerator,Friends/Family
UAE,Metro,47,Male,Secondary,2,71362.37,386.9,5,50,4,4,1,1,13.0,3516.85,BNPL,3,Energy saving,Other,Wi‑Fi control;Solar compatibility;Compact design,Washer,Govt portals;In‑store demos
India,Metro,41,Male,Secondary,4,35248.17,511.2,4,20,4,4,0,1,6.7,2709.3,Upfront,3,Peer reviews,Low awareness,5‑Star rating;Compact design,AC,Online reviews
UAE,Metro,35,Male,Post‑grad,2,85585.32,609.0,7,82,3,2,1,1,13.8,5580.05,BNPL,4,Energy saving,Limited models,Wi‑Fi control;Quiet motor,Washer,Friends/Family;Govt portals;Social media
Singapore,Metro,37,Male,Post‑grad,1,169838.94,536.8,10,100,5,5,1,1,12.7,8479.95,Upfront,4,Govt incentive,Limited models,5‑Star rating;Wi‑Fi control;Quiet motor,Washer;Dishwasher,Social media
India,Metro,36,Female,Graduate,3,17340.71,187.2,0,42,1,2,1,1,12.8,656.52,Rental,0,Peer reviews,High cost,Quiet motor,Washer,Govt portals;Friends/Family;Social media
India,Metro,46,Male,Secondary,2,18569.34,412.9,2,38,2,1,0,0,6.7,1183.59,Upfront,3,Brand,Uncertain savings,5‑Star rating,Air‑purifier,Social media
Singapore,Metro,31,Male,Graduate,5,105011.37,263.2,6,56,4,5,1,0,10.9,5439.55,Upfront,2,Peer reviews,Limited models,Wi‑Fi control,Refrigerator;AC,In‑store demos;Govt portals;Online reviews
India,Metro,39,Other,Secondary,2,14554.55,273.2,1,8,5,5,0,1,8.5,1149.31,Upfront,4,Brand,Limited models,Quiet motor,Dishwasher;AC;Washer,Social media;Friends/Family;In‑store demos
India,Rural,29,Male,Secondary,5,18987.58,214.8,2,55,2,3,1,1,12.4,1828.41,Upfront,3,Up‑front price,Limited models,Compact design;Solar compatibility,AC;Refrigerator,Social media;Friends/Family;In‑store demos
Singapore,Metro,43,Male,Secondary,5,225461.72,734.3,10,64,3,3,1,0,6.9,11313.42,Upfront,5,Peer reviews,Uncertain savings,Quiet motor,AC;Refrigerator,Online reviews
India,Metro,42,Male,Graduate,7,39428.47,554.2,2,41,1,2,0,0,2.4,1866.27,BNPL,3,Up‑front price,Uncertain savings,Compact design,Air‑purifier;Dishwasher,Friends/Family;Govt portals
India,Rural,37,Male,Secondary,2,21488.07,241.4,0,27,2,2,0,0,6.1,1546.42,0‑interest EMI,3,Brand,Low awareness,Wi‑Fi control;Compact design;Solar compatibility,Refrigerator;Dishwasher,Social media;Govt portals;In‑store demos
India,Metro,22,Male,Secondary,4,22257.25,258.2,3,17,4,3,0,0,2.8,1138.43,Rental,2,Up‑front price,Limited models,Wi‑Fi control;Solar compatibility;5‑Star rating,Air‑purifier;Washer,Social media;Friends/Family;Govt portals
UAE,Metro,31,Male,Graduate,2,83431.89,591.3,3,67,1,1,0,0,4.5,3574.49,Upfront,4,Brand,High cost,Wi‑Fi control;Quiet motor;5‑Star rating,Air‑purifier;Refrigerator;AC,Social media
Singapore,Metro,18,Male,Secondary,1,125092.71,187.7,8,51,5,4,1,1,9.3,5708.5,0‑interest EMI,3,Peer reviews,Other,5‑Star rating;Wi‑Fi control,Dishwasher;Water‑heater,Friends/Family;Social media;Online reviews
UAE,Metro,39,Male,Secondary,2,52346.27,237.8,1,34,2,1,1,1,3.6,3331.43,Upfront,4,Govt incentive,Uncertain savings,5‑Star rating,Washer,In‑store demos;Friends/Family
UAE,Metro,21,Male,Secondary,4,60811.49,316.3,4,45,1,1,1,0,1.6,3409.39,0‑interest EMI,4,Peer reviews,Low awareness,Solar compatibility;Wi‑Fi control;Quiet motor,Dishwasher,Govt portals;Friends/Family;In‑store demos
UAE,Metro,37,Male,Secondary,1,77569.89,176.1,5,61,3,3,0,1,7.0,3527.74,Upfront,1,Brand,High cost,Compact design;Wi‑Fi control;Quiet motor,Washer,Govt portals;Social media
UAE,Metro,25,Male,Primary,5,84225.94,527.3,6,68,2,1,1,0,2.7,4613.72,Upfront,2,Govt incentive,Limited models,Quiet motor,Washer;Water‑heater;Refrigerator,Govt portals;Friends/Family
India,Tier‑2 city,42,Female,Graduate,2,34397.95,267.2,2,40,4,3,1,1,7.6,1004.3,Upfront,0,Govt incentive,Uncertain savings,Solar compatibility;Wi‑Fi control,Refrigerator;AC;Dishwasher,Online reviews;Social media;Govt portals
UAE,Metro,49,Other,Secondary,3,59529.79,425.2,2,37,1,1,0,1,7.2,3139.46,Upfront,4,Peer reviews,Uncertain savings,Quiet motor;5‑Star rating;Compact design,Washer,Govt portals
UAE,Metro,31,Female,Graduate,1,63989.11,563.3,6,38,3,3,1,1,10.7,4224.94,BNPL,2,Peer reviews,Limited models,Quiet motor,Air‑purifier,Friends/Family;In‑store demos;Online reviews
UAE,Metro,45,Male,Secondary,3,67773.35,165.1,7,64,5,5,1,1,9.7,3138.96,Rental,0,Peer reviews,Other,5‑Star rating;Solar compatibility;Wi‑Fi control,Refrigerator,Govt portals;Online reviews;Friends/Family
Singapore,Metro,31,Male,Secondary,4,109734.5,267.4,7,78,3,2,0,1,7.8,5383.14,0‑interest EMI,2,Govt incentive,Low awareness,Wi‑Fi control,Water‑heater;Dishwasher,Online reviews;Friends/Family
India,Metro,28,Female,Graduate,3,26541.34,210.7,4,25,5,4,1,1,9.3,896.72,Rental,1,Energy saving,High cost,Solar compatibility;Compact design;Quiet motor,Dishwasher,Social media
Singapore,Metro,35,Female,Graduate,1,103732.0,530.9,5,59,3,3,0,1,8.6,5260.66,BNPL,2,Govt incentive,Other,Wi‑Fi control,Dishwasher;Refrigerator;AC,Social media
India,Tier‑2 city,45,Other,Graduate,2,9723.03,260.1,0,26,3,2,0,0,9.9,1348.33,Upfront,0,Govt incentive,High cost,Compact design;Wi‑Fi control;Quiet motor,Refrigerator;Washer;AC,Social media;In‑store demos;Friends/Family
India,Tier‑2 city,49,Male,Graduate,2,18390.41,422.2,3,17,5,5,0,1,19.8,1297.54,0‑interest EMI,3,Energy saving,Uncertain savings,Wi‑Fi control;5‑Star rating;Solar compatibility,Dishwasher;AC,Friends/Family
UAE,Metro,42,Female,Primary,3,71758.37,253.0,3,70,5,5,1,0,4.8,3600.45,Upfront,2,Up‑front price,High cost,Wi‑Fi control;5‑Star rating;Compact design,Air‑purifier,Friends/Family
India,Metro,46,Female,Post‑grad,5,7426.54,146.7,2,51,4,3,1,1,17.6,940.08,BNPL,4,Up‑front price,High cost,Quiet motor;Wi‑Fi control;Compact design,Water‑heater,Govt portals;In‑store demos
Singapore,Metro,26,Female,Graduate,3,82497.45,281.7,5,35,1,1,1,0,3.4,4184.53,0‑interest EMI,3,Energy saving,Limited models,Compact design;5‑Star rating;Solar compatibility,Washer;Refrigerator;Water‑heater,Online reviews
UAE,Metro,47,Female,Secondary,4,61415.72,288.5,2,51,5,5,0,1,16.5,2089.93,Upfront,0,Energy saving,High cost,Compact design;Quiet motor,Water‑heater;Refrigerator;Air‑purifier,Social media;Friends/Family;Govt portals
Singapore,Metro,59,Male,Graduate,2,68488.43,680.3,5,53,4,4,0,1,19.0,3753.08,0‑interest EMI,3,Up‑front price,Low awareness,5‑Star rating;Wi‑Fi control,Water‑heater,Online reviews;In‑store demos
India,Metro,33,Male,Secondary,1,20731.94,160.3,1,36,5,4,1,1,6.9,60.71,Rental,1,Govt incentive,Uncertain savings,Wi‑Fi control;Quiet motor,Dishwasher,Friends/Family;In‑store demos;Govt portals
India,Rural,23,Male,Secondary,2,22649.11,284.0,4,43,1,1,1,1,4.8,899.14,0‑interest EMI,2,Peer reviews,High cost,Wi‑Fi control;Solar compatibility;Quiet motor,Water‑heater;Air‑purifier,Social media;In‑store demos;Govt portals
India,Metro,48,Male,Primary,3,19631.47,279.2,5,41,2,3,1,0,3.8,1465.79,0‑interest EMI,4,Energy saving,Other,5‑Star rating;Solar compatibility;Compact design,Air‑purifier;Water‑heater;AC,Govt portals
India,Tier‑2 city,38,Male,Post‑grad,5,21351.27,263.2,1,55,3,4,0,1,9.0,1686.25,0‑interest EMI,2,Govt incentive,High cost,Solar compatibility;Wi‑Fi control;Compact design,Air‑purifier,In‑store demos;Friends/Family
India,Metro,34,Female,Graduate,6,11574.47,187.6,0,45,2,1,0,0,8.6,584.41,0‑interest EMI,6,Brand,Limited models,Solar compatibility;Compact design;5‑Star rating,Refrigerator,Govt portals;Social media
Singapore,Tier‑2 city,31,Male,Graduate,3,120583.51,762.9,8,81,2,2,1,1,12.9,5966.27,Upfront,1,Brand,Uncertain savings,Compact design,Dishwasher,Govt portals;Social media;In‑store demos
India,Metro,42,Male,Post‑grad,1,26749.86,202.7,3,53,3,4,0,1,14.5,489.09,BNPL,4,Brand,Low awareness,Solar compatibility;5‑Star rating;Wi‑Fi control,Refrigerator;AC;Washer,Social media
India,Tier‑2 city,25,Female,Primary,1,32668.01,299.5,3,60,2,1,0,1,10.7,2630.25,Upfront,3,Peer reviews,Other,5‑Star rating,Refrigerator;AC,Govt portals;Friends/Family
India,Metro,47,Female,Secondary,6,16738.89,618.4,3,35,4,4,1,0,4.4,750.34,BNPL,3,Peer reviews,Other,5‑Star rating;Solar compatibility;Compact design,Refrigerator;Dishwasher,Friends/Family
India,Metro,38,Male,Graduate,1,14952.12,235.4,2,40,2,3,0,0,4.9,822.57,Rental,3,Up‑front price,Other,Solar compatibility;5‑Star rating;Compact design,AC,Friends/Family
India,Metro,31,Male,Post‑grad,1,24295.71,169.5,3,15,3,4,0,0,5.5,737.15,0‑interest EMI,0,Peer reviews,High cost,Compact design,Dishwasher;Refrigerator,Online reviews;Friends/Family
Singapore,Tier‑2 city,39,Female,Post‑grad,3,67302.81,120.1,4,42,1,1,0,0,0.8,2963.52,Upfront,0,Energy saving,Other,Quiet motor;Compact design;Wi‑Fi control,Water‑heater;Refrigerator,Govt portals;In‑store demos
India,Tier‑2 city,41,Female,Graduate,2,21225.88,1364.0,1,29,2,2,0,0,2.6,465.82,BNPL,4,Peer reviews,Other,Quiet motor;Compact design;Wi‑Fi control,AC;Water‑heater,Online reviews
UAE,Metro,18,Male,Secondary,6,54159.26,584.8,4,42,5,5,0,1,25.8,2387.63,0‑interest EMI,4,Up‑front price,Limited models,Quiet motor;5‑Star rating;Solar compatibility,Water‑heater;Washer;Refrigerator,Social media;Friends/Family;Online reviews
UAE,Metro,32,Male,Graduate,3,48009.59,576.2,4,54,5,5,1,0,7.4,1783.01,0‑interest EMI,5,Energy saving,Low awareness,Wi‑Fi control,Water‑heater;AC,Social media
Singapore,Metro,23,Male,Secondary,2,98650.74,278.8,8,54,1,1,1,0,4.4,4849.29,Upfront,1,Brand,Uncertain savings,Solar compatibility,Washer;Refrigerator,In‑store demos
India,Metro,37,Female,Graduate,3,19499.71,494.8,7,23,3,3,0,0,3.0,1014.86,0‑interest EMI,5,Brand,Low awareness,Compact design,Washer;Water‑heater;Air‑purifier,Online reviews
UAE,Metro,20,Female,Graduate,4,41199.76,870.4,0,11,4,3,1,1,12.7,3035.95,0‑interest EMI,3,Peer reviews,High cost,Compact design,Refrigerator;Washer;AC,Online reviews;Govt portals;Friends/Family
India,Metro,22,Female,Graduate,6,15403.14,235.9,4,13,5,4,0,0,6.9,636.13,Upfront,1,Peer reviews,Limited models,Solar compatibility,Refrigerator;AC;Washer,Social media;In‑store demos
India,Metro,31,Male,Post‑grad,1,17044.37,326.4,1,49,4,4,1,1,11.1,516.08,0‑interest EMI,2,Energy saving,Uncertain savings,Quiet motor;Compact design;Wi‑Fi control,Refrigerator;Washer,Friends/Family;Govt portals
UAE,Metro,22,Female,Graduate,2,111893.2,329.8,10,64,4,5,1,0,13.2,5698.3,Upfront,2,Peer reviews,Other,Wi‑Fi control;Solar compatibility,Dishwasher;Refrigerator,Social media
Singapore,Metro,29,Female,Secondary,7,79299.12,210.0,6,43,4,5,1,1,8.8,4006.19,Upfront,5,Brand,Uncertain savings,Solar compatibility;Quiet motor;Compact design,Refrigerator,Social media;In‑store demos;Online reviews
UAE,Metro,31,Male,Graduate,2,62234.75,406.3,5,51,3,3,1,1,12.9,3602.35,Upfront,0,Energy saving,Limited models,Compact design,Air‑purifier,In‑store demos;Govt portals
Singapore,Metro,28,Female,Secondary,1,102065.37,277.5,3,56,1,2,0,1,4.3,5143.45,Upfront,2,Energy saving,Other,5‑Star rating,Washer;Refrigerator,Govt portals;Online reviews
India,Tier‑2 city,31,Female,Primary,6,23436.43,210.7,1,9,2,1,0,1,17.9,1426.65,BNPL,4,Peer reviews,High cost,Compact design;Quiet motor,Refrigerator;Washer;Air‑purifier,Govt portals;Social media;In‑store demos
India,Tier‑2 city,22,Other,Post‑grad,1,14245.16,171.4,4,20,1,1,1,1,3.4,610.56,0‑interest EMI,5,Energy saving,High cost,Solar compatibility,Washer;Refrigerator,In‑store demos;Friends/Family
India,Tier‑2 city,27,Male,Secondary,5,28668.45,183.8,1,11,1,1,1,1,5.9,1574.8,0‑interest EMI,0,Peer reviews,High cost,5‑Star rating,Dishwasher;Refrigerator;Washer,In‑store demos;Friends/Family;Online reviews
UAE,Metro,35,Female,Primary,3,99903.09,565.5,3,56,5,5,1,1,19.4,4896.89,0‑interest EMI,4,Energy saving,Other,5‑Star rating,Air‑purifier;Dishwasher;Refrigerator,Social media
Singapore,Metro,39,Female,Graduate,4,76784.75,174.8,0,61,3,3,1,1,8.2,2671.2,0‑interest EMI,3,Up‑front price,Limited models,Solar compatibility;Wi‑Fi control;Compact design,Water‑heater,In‑store demos;Social media
Singapore,Metro,33,Female,Secondary,4,89669.14,336.1,5,62,3,2,1,0,4.0,4835.85,Upfront,4,Brand,Limited models,5‑Star rating,Dishwasher,Govt portals
Singapore,Metro,32,Male,Graduate,2,53561.9,259.9,2,63,5,5,0,1,16.2,3386.88,0‑interest EMI,4,Govt incentive,High cost,5‑Star rating;Solar compatibility;Quiet motor,Water‑heater,Govt portals
Singapore,Metro,31,Male,Secondary,6,138973.53,172.1,7,71,2,3,0,1,4.0,6459.98,Upfront,1,Energy saving,Limited models,Solar compatibility,Air‑purifier;Washer,Social media;Govt portals;Friends/Family
India,Tier‑2 city,41,Male,Primary,3,22157.48,315.5,4,37,1,1,0,0,0.6,672.08,Upfront,3,Up‑front price,High cost,Quiet motor,Air‑purifier;AC;Dishwasher,Social media;Govt portals
Singapore,Metro,38,Female,Graduate,1,95589.37,260.2,8,78,1,1,1,0,1.3,5389.83,Upfront,2,Peer reviews,Other,Compact design,Air‑purifier;Dishwasher;Water‑heater,Govt portals;In‑store demos
UAE,Metro,32,Female,Primary,4,51160.94,472.8,4,58,4,4,0,0,5.2,3283.07,Upfront,3,Up‑front price,Other,Solar compatibility;Wi‑Fi control,Water‑heater,Online reviews;Social media;Govt portals
India,Tier‑2 city,23,Female,Secondary,5,19588.11,115.0,1,49,5,5,1,1,18.6,2007.7,Rental,2,Brand,Limited models,Compact design;Quiet motor,Air‑purifier;Water‑heater,Social media
India,Tier‑2 city,50,Female,Primary,1,27665.19,183.1,4,47,2,3,0,0,5.5,2324.89,BNPL,0,Up‑front price,Limited models,5‑Star rating;Quiet motor;Compact design,AC;Air‑purifier;Water‑heater,Online reviews;Friends/Family
